Primary Cell Line Name,Compound,ActArea
1321N1,AEW541,0.7124
22Rv1,AEW541,1.6723
42-MG-BA,AEW541,1.1852
5637,AEW541,0.9948
639-V,AEW541,1.5436
697,AEW541,1.7665
769-P,AEW541,1.4376
786-O,AEW541,0.5954
8305C,AEW541,1.2929
8505C,AEW541,0.3189
8-MG-BA,AEW541,1.5025
A172,AEW541,0.3615
A-204,AEW541,0.5525
A2058,AEW541,1.0006
A-253,AEW541,0.6375
A2780,AEW541,0.6674
A-375,AEW541,1.4484
A549,AEW541,1.6406
A-673,AEW541,1.599
ACHN,AEW541,0.6207
ALL-SIL,AEW541,1.8822
AMO-1,AEW541,2.8999
AN3 CA,AEW541,0.3505
AsPC-1,AEW541,1.3966
AU565,AEW541,0.7651
AZ-521,AEW541,2.3462
B-CPAP,AEW541,1.3166
BDCM,AEW541,0.3316
BFTC-909,AEW541,0.898
BGC-823,AEW541,1.5611
BL-41,AEW541,0.3433
BL-70,AEW541,0.8428
BT-20,AEW541,0.5273
BT-474,AEW541,0.7015
BT-549,AEW541,1.0007
BxPC-3,AEW541,0.7268
C2BBe1,AEW541,1.3449
C32,AEW541,0.8161
C3A,AEW541,1.5387
Caki-2,AEW541,1.1466
CAL-12T,AEW541,2.0875
CAL 27,AEW541,0.9409
CAL-78,AEW541,1.2703
CAL-85-1,AEW541,1.3703
Calu-1,AEW541,0.1548
Calu-3,AEW541,0.561
Calu-6,AEW541,1.511
CAMA-1,AEW541,0.4276
Capan-2,AEW541,1.657
CAS-1,AEW541,0.6584
CCK-81,AEW541,0.7503
CHL-1,AEW541,0.8222
CHP-212,AEW541,2.0767
CI-1,AEW541,0.6551
CMK-86,AEW541,1.7816
COLO 201,AEW541,1.3266
COLO 205,AEW541,1.5025
COLO-320,AEW541,2.0584
COLO-677,AEW541,0.7073
COLO-678,AEW541,1.0687
COLO-679,AEW541,0.9348
COLO-699,AEW541,1.6792
COLO 741,AEW541,1.4813
COR-L105,AEW541,0.4341
COR-L23,AEW541,0.7416
COV318,AEW541,0.7664
COV504,AEW541,0.5949
Daoy,AEW541,0.7917
DBTRG-05MG,AEW541,0.868
DEL,AEW541,1.2612
Detroit 562,AEW541,0.3942
DK-MG,AEW541,0.3032
DMS 114,AEW541,2.3798
DOHH-2,AEW541,2.0396
DOV13,AEW541,1.0079
DU 145,AEW541,0.9597
DV-90,AEW541,1.0623
EB1,AEW541,1.0303
EB2,AEW541,0.1471
EBC-1,AEW541,1.2742
EFE-184,AEW541,0.5889
EFM-19,AEW541,0.7541
EFO-21,AEW541,1.1699
EFO-27,AEW541,0.2644
EM-2,AEW541,1.1647
EN,AEW541,0.6604
ES-2,AEW541,0.366
ESS-1,AEW541,1.5524
F-36P,AEW541,3.0325
FaDu,AEW541,0.5665
FU97,AEW541,0.9502
