Primary Cell Line Name,Compound,IC50 (uM)
1321N1,AEW541,8
22Rv1,AEW541,2.329924107
42-MG-BA,AEW541,2.68212986
5637,AEW541,5.002314091
639-V,AEW541,1.736181378
697,AEW541,4.260821819
769-P,AEW541,8
786-O,AEW541,7.613147736
8305C,AEW541,4.95063591
8505C,AEW541,8
8-MG-BA,AEW541,3.88834095
A172,AEW541,8
A-204,AEW541,5.150311947
A2058,AEW541,5.513091087
A-253,AEW541,8
A2780,AEW541,6.50890398
A-375,AEW541,2.755423546
A549,AEW541,1.954786897
A-673,AEW541,1.127677202
ACHN,AEW541,7.67290926
ALL-SIL,AEW541,2.558496475
AMO-1,AEW541,0.194509948
AN3 CA,AEW541,8
AsPC-1,AEW541,1.427774787
AU565,AEW541,8
AZ-521,AEW541,1.152510881
B-CPAP,AEW541,5.10525465
BDCM,AEW541,4.972634551
BFTC-909,AEW541,8
BGC-823,AEW541,2.397457123
BL-41,AEW541,8
BL-70,AEW541,8
BT-20,AEW541,8
BT-474,AEW541,8
BT-549,AEW541,5.445250988
BxPC-3,AEW541,2.82433486
C2BBe1,AEW541,3.098077059
C32,AEW541,6.354580879
C3A,AEW541,3.194922396
Caki-2,AEW541,8
CAL-12T,AEW541,0.795476556
CAL 27,AEW541,5.387672424
CAL-78,AEW541,5.521905899
CAL-85-1,AEW541,2.28115654
Calu-1,AEW541,8
Calu-3,AEW541,7.724710464
Calu-6,AEW541,2.476439953
CAMA-1,AEW541,8
Capan-2,AEW541,0.432746449
CAS-1,AEW541,8
CCK-81,AEW541,2.329223689
CHL-1,AEW541,7.182005882
CHP-212,AEW541,1.560035467
CI-1,AEW541,8
CMK-86,AEW541,3.686611891
COLO 201,AEW541,3.582765341
COLO 205,AEW541,2.701482058
COLO-320,AEW541,1.450278282
COLO-677,AEW541,8
COLO-678,AEW541,7.851645947
COLO-679,AEW541,8
COLO-699,AEW541,2.213190556
COLO 741,AEW541,3.343924522
COR-L105,AEW541,8
COR-L23,AEW541,8
COV318,AEW541,8
COV504,AEW541,7.504933834
Daoy,AEW541,8
DBTRG-05MG,AEW541,8
DEL,AEW541,5.428296566
Detroit 562,AEW541,8
DK-MG,AEW541,8
DMS 114,AEW541,0.851508498
DOHH-2,AEW541,1.220665687
DOV13,AEW541,5.035466671
DU 145,AEW541,6.68214941
DV-90,AEW541,8
EB1,AEW541,8
EB2,AEW541,8
EBC-1,AEW541,5.164176464
EFE-184,AEW541,8
EFM-19,AEW541,8
EFO-21,AEW541,8
EFO-27,AEW541,8
EM-2,AEW541,8
EN,AEW541,8
ES-2,AEW541,8
ESS-1,AEW541,3.300646305
F-36P,AEW541,0.306566536
FaDu,AEW541,8
FU97,AEW541,3.990180492
FU-OV-1,AEW541,1.314902544
G-361,AEW541,3.611555099
G-401,AEW541,1.411224127
G-402,AEW541,8
GAMG,AEW541,8
GB-1,AEW541,8
GCIY,AEW541,8
GCT,AEW541,3.994412184
GI-1,AEW541,8
GLC-82,AEW541,8
GMS-10,AEW541,8
GRANTA-519,AEW541,8
H4,AEW541,8
HARA,AEW541,8
HCC1187,AEW541,8
HCC1395,AEW541,8
HCC-15,AEW541,8
HCC1569,AEW541,8
HCC1806,AEW541,7.206761837
HCC1954,AEW541,7.284452438
HCC2935,AEW541,8
HCC4006,AEW541,8
HCC-44,AEW541,6.621147633
HCC-56,AEW541,8
HCC70,AEW541,8
HCC-78,AEW541,8
HCC827,AEW541,4.255412994
HCT 116,AEW541,8
HCT-15,AEW541,4.63055563
HD-MY-Z,AEW541,4.04467392
HDQ-P1,AEW541,7.002896786
HEC-151,AEW541,8
HEC-1-A,AEW541,8
HEC-1-B,AEW541,7.18392086
HEC-251,AEW541,8
HEC-265,AEW541,8
HEC-59,AEW541,8
HEC-6,AEW541,8
HEL 92.1.7,AEW541,8
Hep 3B2.1-7,AEW541,2.40823555
Hep G2,AEW541,2.963089466
Hey-A8,AEW541,8
HGC-27,AEW541,5.460076809
HH,AEW541,8
HLE,AEW541,8
HLF,AEW541,7.483052254
HMC-1-8,AEW541,3.805550575
HMCB,AEW541,5.239208221
HOS,AEW541,8
HPAC,AEW541,3.257027626
HPAF-II,AEW541,1.415435689
Hs 229.T,AEW541,8
Hs 294T,AEW541,3.668646574
Hs 578T,AEW541,8
Hs 683,AEW541,6.85484457
Hs 695T,AEW541,6.037502289
Hs 729,AEW541,4.69119978
Hs 739.T,AEW541,7.017650604
Hs 746T,AEW541,6.633160591
Hs 766T,AEW541,8
Hs 840.T,AEW541,8
Hs 852.T,AEW541,0.932404697
Hs 895.T,AEW541,2.193813385
Hs 936.T,AEW541,8
Hs 939.T,AEW541,8
Hs 944.T,AEW541,8
HSC-2,AEW541,8
HT,AEW541,8
HT-1080,AEW541,7.100716114
HT-1197,AEW541,3.332540035
HT-1376,AEW541,8
HT-144,AEW541,4.869328499
HT-29,AEW541,1.376474261
HuCCT1,AEW541,8
huH-1,AEW541,1.66758883
HUP-T3,AEW541,8
HUP-T4,AEW541,1.387827429
HuT 78,AEW541,1.822629352
IA-LM,AEW541,8
IGR-37,AEW541,0.13937079
IGR-39,AEW541,8
IGROV1,AEW541,8
IM95,AEW541,8
IMR-32,AEW541,2.705385923
IPC-298,AEW541,4.911699772
Ishikawa (Heraklio) 02 ER-,AEW541,8
IST-MES1,AEW541,6.513892495
IST-MES2,AEW541,8
J82,AEW541,8
JHH-2,AEW541,8
JHH-4,AEW541,7.419638634
JHH-5,AEW541,3.495026588
JHH-6,AEW541,8
JHH-7,AEW541,1.806263089
JHOS-2,AEW541,4.9757967
JHOS-4,AEW541,3.452549696
JHUEM-2,AEW541,8
JM1,AEW541,8
JMSU-1,AEW541,2.492431164
JURKAT,AEW541,5.302770138
JVM-3,AEW541,7.611978054
K029AX,AEW541,4.483352184
KALS-1,AEW541,8
KARPAS-299,AEW541,8
KARPAS-422,AEW541,3.330083609
KARPAS-620,AEW541,0.515746772
KASUMI-2,AEW541,6.684100151
KCI-MOH1,AEW541,1.767559767
KCL-22,AEW541,6.837701797
KE-39,AEW541,3.493362665
KE-97,AEW541,8
KELLY,AEW541,8
KG-1,AEW541,2.640584832
KHM-1B,AEW541,0.246601477
KLE,AEW541,8
KMBC-2,AEW541,8
KMM-1,AEW541,1.40566361
KMRC-1,AEW541,8
KMRC-2,AEW541,0.482534881
KMS-11,AEW541,0.279543102
KMS-12-BM,AEW541,5.433550026
KMS-26,AEW541,0.651424348
KMS-34,AEW541,0.484309763
KNS-42,AEW541,6.282463074
KNS-60,AEW541,8
KNS-62,AEW541,8
KNS-81,AEW541,6.037409782
KO52,AEW541,6.777762554
KP-1N,AEW541,8
KP-1NL,AEW541,8
KP-2,AEW541,6.969734669
KP-3,AEW541,8
KP4,AEW541,4.758481979
KP-N-SI9s,AEW541,1.030234575
KU812,AEW541,8
KURAMOCHI,AEW541,2.929866552
KYM-1,AEW541,8
KYSE-140,AEW541,1.963032126
KYSE-150,AEW541,8
KYSE-180,AEW541,3.612831354
KYSE-30,AEW541,8
KYSE-410,AEW541,2.273355246
KYSE-450,AEW541,8
KYSE-510,AEW541,4.977478504
KYSE-520,AEW541,5.148413658
KYSE-70,AEW541,1.257513762
L3.3,AEW541,8
L-363,AEW541,0.598104239
L-428,AEW541,8
LC-1/sq-SF,AEW541,8
